2025-10-08 00:00:02.649 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.664 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.680 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.695 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.710 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.725 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.741 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.757 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.774 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.789 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.804 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.820 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.835 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.851 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.867 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.882 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.898 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.914 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.929 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.945 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.959 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.975 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.991 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.006 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.022 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.036 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.052 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.068 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.084 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.099 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.116 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.131 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.146 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.162 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.177 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.192 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.208 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.223 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.239 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.254 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.270 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.286 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.301 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.316 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.332 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.347 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.363 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.379 [Thread-0] DEBUG com.rivet.game.Rivet - FPS: 65
2025-10-08 00:00:03.379 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.396 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.411 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.427 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.442 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.458 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.473 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.489 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.504 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.520 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.535 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
